"gene_id"	"path_id"	"path_name"
"t0158"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0159"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0160"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0397"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0424"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0454"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0715"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0989"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1169"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1195"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1206"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1246"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1482"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1553"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1660"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1717"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1803"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2114"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2115"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2177"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2853"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2969"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2987"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2988"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3174"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3533"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3537"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3557"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3575"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3601"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3743"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3815"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t3839"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t4006"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t4127"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t4181"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t4469"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t4624"	"stt00010"	"Glycolysis / Gluconeogenesis - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0158"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0159"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0160"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t0164"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1336"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1337"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1553"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1625"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t1682"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2137"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2138"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2139"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2140"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
"t2141"	"stt00020"	"Citrate cycle (TCA cycle) - Salmonella enterica subsp. enterica serovar Typhi Ty2"
