"gene_id"	"path_id"	"path_name"
"ETEC_0110"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0111"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0112"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0412"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0705"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0759"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_0760"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1071"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1166"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1343"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1452"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1488"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1548"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1655"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1709"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1755"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1766"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1811"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1812"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_1887"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2236"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2507"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2530"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2557"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2906"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2907"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_2971"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3094"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3117"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3118"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3653"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3832"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3833"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_3855"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4012"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4149"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4185"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4188"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4194"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4280"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
"ETEC_4379"	"elh00010"	"Glycolysis / Gluconeogenesis - Escherichia coli O78:H11:K80 H10407 (ETEC)"
