"","Cluster","Klebsiella pneumoniae Ecl8","Klebsiella pneumoniae RH201207","Citrobacter rodentium ICC168","Salmonella Typhimurium SL1344","Salmonella Typhimurium SL3261","Salmonella Typhimurium D23580","Salmonella Typhimurium A130","Salmonella Enteritidis P125109","Salmonella Typhi Ty2","Escherichia coli ST131 EC958","Escherichia coli ST131 NCTC 13441","Escherichia coli BW25113","Escherichia coli BW25113 (EcoGene)"
"507","Clust506",1,1,1,1,1,1,1,1,1,1,1,1,1
"510","Clust509",0,0,1,0,0,0,0,0,0,0,0,0,0
"511","Clust510",0,0,1,0,0,0,0,0,0,0,0,0,0
"513","Clust512",1,1,1,1,1,1,1,1,1,0,0,1,1
"517","Clust516",1,1,1,1,1,1,1,1,1,1,1,1,1
"518","Clust517",1,1,1,1,1,1,0,1,1,1,1,1,1
"520","Clust519",1,1,1,1,1,1,1,1,1,1,1,1,1
"529","Clust528",1,1,1,1,1,1,1,1,1,1,1,1,1
"530","Clust529",1,1,1,1,1,1,1,1,1,1,1,1,1
"532","Clust531",1,1,1,1,1,1,1,1,1,1,1,1,1
"535","Clust534",0,0,0,0,0,0,1,0,0,1,1,0,0
"536","Clust535",0,0,0,1,1,1,1,0,1,0,0,0,1
"542","Clust541",0,0,0,0,0,0,0,0,0,1,1,0,0
"544","Clust543",1,1,1,1,1,1,1,1,1,1,1,1,1
"551","Clust550",1,1,1,1,1,1,1,1,1,1,1,1,1
"557","Clust556",1,1,1,1,1,1,1,1,1,1,1,1,1
"561","Clust560",1,1,1,1,1,1,1,1,1,1,1,1,0
"563","Clust562",0,0,0,0,0,0,0,1,1,0,1,1,0
"564","Clust563",1,1,1,1,1,1,1,1,1,1,1,1,0
"568","Clust567",0,0,0,0,0,0,0,0,0,0,0,1,1
"572","Clust571",0,1,1,1,1,1,1,1,1,1,1,1,1
"573","Clust572",0,1,1,1,1,1,1,1,1,1,1,1,1
"574","Clust573",1,0,1,1,1,1,1,1,1,1,1,1,1
"577","Clust576",0,1,1,0,1,1,1,0,1,0,1,1,0
"582","Clust581",1,1,1,1,1,1,1,1,1,1,1,1,1
"586","Clust585",1,1,0,0,0,0,1,0,1,1,0,1,0
"590","Clust589",1,1,1,1,1,1,1,1,1,1,1,1,1
"595","Clust594",0,1,0,0,0,0,0,0,0,0,0,0,0
"601","Clust600",1,0,1,1,1,0,0,1,0,0,0,1,1
"603","Clust602",1,1,1,1,1,1,1,1,1,1,1,1,1
"605","Clust604",0,0,0,0,0,0,0,0,0,0,0,1,0
"608","Clust607",1,1,1,1,1,1,1,1,1,1,1,1,1
"609","Clust608",0,0,0,0,0,0,1,0,0,1,1,0,0
"611","Clust610",1,1,1,1,1,1,1,1,1,1,1,1,1
"613","Clust612",1,1,1,1,1,1,1,1,1,1,1,1,1
"614","Clust613",1,0,0,0,0,0,0,0,0,0,0,0,0
"615","Clust614",0,1,1,1,1,0,1,1,1,1,1,0,0
"616","Clust615",1,1,1,1,1,1,1,1,1,1,1,1,1
"625","Clust624",1,1,1,1,1,1,1,1,1,1,1,1,1
"631","Clust630",1,1,1,1,1,0,0,1,1,1,1,1,1
"633","Clust632",1,1,1,1,1,0,0,1,1,1,1,1,1
"1214","Clust1213",0,1,0,0,0,0,0,0,0,0,0,0,0
"1247","Clust1246",0,1,0,0,0,0,0,0,0,0,0,0,0
"1252","Clust1251",1,0,0,0,0,0,0,0,0,0,0,0,0
"1279","Clust1278",1,1,0,0,0,0,0,0,0,0,0,0,0
"1284","Clust1283",0,1,0,0,0,0,0,0,0,0,0,0,0
"1287","Clust1286",0,1,0,0,0,0,0,0,0,0,0,0,0
"1289","Clust1288",0,1,0,0,0,0,0,0,0,0,0,0,0
"1311","Clust1310",0,1,0,0,0,0,0,0,0,0,0,0,0
"1327","Clust1326",0,1,0,0,0,0,0,0,0,0,0,0,0
"1347","Clust1346",1,0,0,0,0,0,0,0,0,0,0,0,0
"1353","Clust1352",1,1,0,0,0,0,0,0,0,0,0,0,0
"1354","Clust1353",0,1,0,0,0,0,0,0,0,0,0,0,0
"1362","Clust1361",0,1,0,0,0,0,0,0,0,0,0,0,0
