"","Cluster","Klebsiella pneumoniae Ecl8","Klebsiella pneumoniae RH201207","Citrobacter rodentium ICC168","Salmonella Typhimurium SL1344","Salmonella Typhimurium SL3261","Salmonella Typhimurium D23580","Salmonella Typhimurium A130","Salmonella Enteritidis P125109","Salmonella Typhi Ty2","Escherichia coli ST131 EC958","Escherichia coli ST131 NCTC 13441","Escherichia coli BW25113","Escherichia coli BW25113 (EcoGene)"
"3618","Clust3617",0,0,0,0,0,0,0,0,0,0,0,0,1
"3619","Clust3618",0,0,0,0,0,0,0,0,0,1,0,0,0
"3628","Clust3627",0,0,0,0,0,0,0,0,0,0,0,1,0
"3630","Clust3629",0,0,0,0,0,1,0,0,0,0,0,0,1
"3631","Clust3630",0,0,0,1,1,1,0,0,0,0,0,0,0
"3686","Clust3685",0,0,0,0,0,0,0,0,0,0,0,1,0
"3704","Clust3703",0,0,0,0,0,0,0,0,0,1,0,0,0
"3722","Clust3721",0,0,0,0,0,1,0,0,0,0,1,1,0
"3736","Clust3735",0,0,0,0,0,0,0,0,0,0,0,1,0
"3749","Clust3748",0,0,0,0,0,0,0,0,0,0,0,1,0
"3750","Clust3749",0,0,0,0,0,0,0,0,0,0,0,1,0
"3757","Clust3756",0,0,0,1,1,1,1,0,1,1,1,1,1
"3758","Clust3757",0,0,0,1,1,0,0,0,0,0,0,0,0
"3763","Clust3762",0,0,0,0,0,0,0,0,0,0,0,1,0
"3766","Clust3765",0,0,0,0,0,0,0,0,0,1,0,0,0
"3981","Clust3980",0,0,0,0,0,1,0,1,1,0,0,0,0
"4002","Clust4001",0,0,0,0,0,1,1,1,1,0,0,0,0
"4027","Clust4026",0,0,0,0,0,0,0,0,0,0,0,1,0
"4029","Clust4028",0,0,0,0,0,1,1,0,1,0,0,0,0
"4144","Clust4143",0,0,0,0,0,0,0,0,0,0,0,0,1
"4408","Clust4407",0,0,0,0,0,0,0,0,0,0,0,1,0
"4450","Clust4449",0,0,0,0,0,0,0,0,0,0,0,1,0
"4481","Clust4480",0,0,0,0,1,1,0,0,0,0,0,0,0
"4490","Clust4489",0,0,0,0,0,0,0,0,0,0,0,1,0
"4550","Clust4549",0,1,0,0,0,0,0,0,0,0,0,0,0
"4589","Clust4588",0,0,0,0,0,0,0,0,0,0,0,0,1
"4602","Clust4601",0,0,0,0,0,0,0,0,0,0,0,1,0
"4642","Clust4641",0,0,0,0,0,0,0,0,0,0,0,1,0
"4686","Clust4685",0,1,0,1,0,0,1,0,0,0,0,0,0
"4736","Clust4735",0,0,0,0,0,0,0,0,0,0,0,1,0
"4737","Clust4736",0,1,0,0,0,0,0,0,0,0,0,0,0
"4749","Clust4748",0,0,1,0,0,0,0,0,0,0,0,0,0
"4768","Clust4767",0,0,0,0,0,0,0,0,0,0,0,1,0
"4792","Clust4791",0,0,0,0,0,0,0,0,0,0,0,1,0
"4800","Clust4799",0,1,0,0,0,0,0,0,0,0,0,0,0
"4811","Clust4810",0,0,0,0,0,0,0,0,0,0,0,1,0
"4814","Clust4813",0,0,0,0,0,0,0,0,0,0,0,1,0
"4836","Clust4835",0,0,0,0,0,0,1,0,0,0,0,0,0
"4837","Clust4836",0,1,0,0,0,0,0,0,0,1,1,1,0
"4842","Clust4841",0,0,0,0,0,0,0,0,0,1,0,0,0
"4881","Clust4880",0,0,0,0,0,0,0,0,0,0,0,1,0
"4884","Clust4883",0,0,0,0,0,0,0,0,0,0,0,1,0
"4892","Clust4891",0,0,0,0,0,0,0,0,0,0,0,1,0
"4896","Clust4895",0,0,0,0,0,0,0,0,0,0,0,1,0
"4901","Clust4900",0,0,0,0,0,0,0,0,0,0,0,1,0
"4908","Clust4907",0,1,0,0,0,0,0,0,0,0,0,0,0
"4910","Clust4909",0,0,0,0,0,0,0,0,0,0,0,1,0
"4950","Clust4949",0,0,0,0,0,0,0,0,1,0,0,0,0
"4952","Clust4951",0,0,0,0,0,0,0,0,0,0,0,1,0
"4957","Clust4956",1,0,0,0,0,0,0,0,0,0,0,0,0
"4970","Clust4969",0,0,0,0,0,0,0,0,1,0,0,0,0
"4975","Clust4974",0,0,0,0,0,0,0,0,0,0,0,1,0
"4979","Clust4978",0,1,0,0,0,0,0,0,0,0,0,0,0
"4991","Clust4990",1,0,0,0,0,0,0,0,0,0,0,1,0
"5049","Clust5048",0,0,0,0,0,0,0,0,0,0,0,1,0
"6033","Clust6032",0,0,0,0,0,0,1,0,0,0,0,0,0
"6052","Clust6051",0,0,0,0,0,0,0,0,0,0,0,1,0
"6312","Clust6311",0,1,0,0,0,0,0,0,0,0,0,0,0
"6366","Clust6365",0,0,0,0,0,0,0,0,0,0,0,1,0
"6391","Clust6390",0,0,0,0,0,0,0,0,0,0,0,1,0
"6431","Clust6430",0,0,0,0,0,0,1,0,0,0,0,0,0
"6441","Clust6440",0,0,1,1,1,1,1,1,1,1,1,0,1
"6500","Clust6499",0,0,0,0,0,0,0,0,0,0,0,0,1
"6501","Clust6500",0,0,0,0,0,0,1,0,0,0,0,0,0
"6508","Clust6507",1,1,1,1,1,1,1,1,1,1,1,1,1
"6515","Clust6514",1,1,0,0,0,0,0,0,0,0,0,0,0
"6583","Clust6582",0,0,0,0,0,0,0,0,0,0,0,1,0
"6641","Clust6640",0,1,0,0,0,0,1,0,1,0,1,1,0
"6786","Clust6785",0,0,0,0,0,0,0,0,0,0,0,0,1
"6854","Clust6853",0,0,0,0,0,0,1,0,0,0,0,1,0
"6874","Clust6873",0,0,0,0,0,0,0,0,0,0,0,1,0
"6913","Clust6912",0,0,0,0,0,0,1,0,0,0,0,0,0
"6984","Clust6983",1,1,1,1,1,1,1,1,1,1,1,1,1
"7187","Clust7186",0,0,0,0,0,0,1,0,0,0,0,0,0
"7188","Clust7187",0,1,0,0,0,0,1,0,0,0,1,0,0
"7233","Clust7232",0,0,0,0,0,0,0,0,0,0,0,1,0
"7267","Clust7266",0,0,0,0,0,0,0,0,0,0,0,0,1
"7295","Clust7294",0,0,0,0,0,0,0,0,0,0,0,1,0
"7321","Clust7320",0,1,0,0,0,0,0,0,0,0,0,0,0
"7327","Clust7326",0,0,0,0,0,0,0,0,0,0,0,1,0
"7332","Clust7331",0,0,0,0,0,0,1,0,0,0,0,1,0
"7373","Clust7372",0,0,0,0,0,1,0,0,0,0,0,0,0
"7398","Clust7397",0,0,0,0,0,0,0,0,0,0,0,1,0
"7498","Clust7497",1,1,0,0,0,0,0,0,1,0,0,0,0
"7538","Clust7537",0,0,0,0,0,0,1,0,0,0,0,0,0
"7620","Clust7619",1,1,1,1,1,1,1,1,1,1,1,1,0
"7621","Clust7620",0,1,0,0,0,0,0,0,0,0,0,0,0
"7622","Clust7621",0,0,0,0,0,0,1,0,0,0,0,0,0
"7657","Clust7656",0,0,0,0,0,0,0,0,0,0,0,1,0
"7661","Clust7660",0,0,0,0,0,0,0,0,0,0,0,1,0
"7664","Clust7663",0,1,0,0,0,0,0,0,0,0,0,0,0
"7666","Clust7665",0,0,0,0,0,0,1,0,0,0,0,0,0
"7680","Clust7679",0,0,0,0,0,0,1,0,0,0,0,0,0
"7681","Clust7680",0,0,0,0,0,0,0,1,0,0,0,0,0
"7685","Clust7684",1,0,0,0,0,0,0,0,0,0,0,0,0
"7686","Clust7685",0,0,0,0,1,0,0,0,0,0,0,0,0
"7698","Clust7697",0,0,0,0,0,0,1,0,0,0,0,0,0
"7700","Clust7699",0,0,1,0,0,0,0,0,0,0,0,0,0
"7723","Clust7722",0,0,0,0,0,0,0,0,0,0,0,1,0
"7727","Clust7726",0,0,0,0,0,0,0,0,0,0,0,1,0
"7733","Clust7732",0,1,0,0,0,0,0,0,0,0,0,0,0
"7734","Clust7733",0,1,0,0,0,0,0,0,0,0,0,0,0
"7738","Clust7737",0,0,0,0,0,0,0,0,0,0,0,1,0
"7746","Clust7745",0,0,0,0,0,0,0,0,0,0,0,1,0
"7792","Clust7791",0,0,0,0,0,0,0,0,0,0,0,1,0
"7822","Clust7821",0,0,0,0,0,0,0,0,1,0,0,0,0
"7857","Clust7856",0,0,0,0,0,0,0,0,0,0,0,0,1
"7859","Clust7858",0,0,0,0,0,0,0,0,0,0,0,1,0
"7901","Clust7900",0,0,0,0,0,0,0,0,0,0,0,1,0
"7910","Clust7909",0,0,0,1,0,0,0,0,0,0,0,0,0
"7917","Clust7916",0,0,0,0,0,0,0,0,0,0,0,1,0
"7939","Clust7938",0,0,0,0,0,0,1,0,0,0,1,0,0
"7965","Clust7964",0,0,0,0,0,0,0,0,1,0,0,0,0
"7977","Clust7976",0,0,0,0,0,1,0,0,0,0,0,0,0
"8062","Clust8061",1,1,1,1,1,1,1,1,1,1,1,1,1
"8072","Clust8071",0,0,0,0,0,0,0,0,0,0,0,0,1
"8099","Clust8098",0,1,0,0,0,0,0,0,0,0,0,0,0
"8126","Clust8125",0,0,0,1,1,0,1,1,0,0,1,1,0
"8204","Clust8203",0,1,1,0,1,0,0,0,0,1,1,0,1
"8229","Clust8228",0,0,0,1,1,1,1,1,1,0,0,1,1
"8234","Clust8233",0,1,0,0,0,0,1,0,0,0,0,0,0
"8456","Clust8455",1,1,1,1,1,1,1,1,1,1,1,1,1
"8464","Clust8463",0,0,0,0,1,0,0,0,1,0,0,0,0
"8485","Clust8484",1,1,1,1,1,1,1,1,1,1,1,1,1
"8512","Clust8511",1,0,0,0,0,0,0,0,0,0,0,0,0
"8567","Clust8566",0,1,1,0,0,1,1,0,0,0,0,1,0
"8617","Clust8616",0,1,0,1,1,0,1,0,1,0,1,0,0
"8618","Clust8617",1,1,1,1,1,1,1,1,1,1,1,1,1
"8631","Clust8630",1,1,0,0,0,0,1,0,0,0,0,0,0
"8647","Clust8646",1,1,1,1,1,1,1,1,0,1,1,0,0
"8648","Clust8647",0,1,0,0,0,0,1,0,0,0,0,0,0
"8660","Clust8659",0,0,0,1,1,0,1,0,0,0,1,1,1
"8686","Clust8685",0,0,0,1,0,0,0,0,0,0,0,0,0
"8689","Clust8688",0,0,0,0,0,0,0,0,0,0,0,1,0
"8707","Clust8706",0,0,0,0,0,0,0,0,0,0,0,1,0
"8714","Clust8713",0,1,0,0,0,0,0,0,1,0,0,0,0
"8715","Clust8714",0,0,0,1,0,0,1,0,0,0,0,0,0
"8721","Clust8720",1,1,1,1,1,1,1,1,1,1,1,1,1
"8736","Clust8735",0,1,0,0,0,0,0,0,0,0,0,0,0
"8740","Clust8739",1,1,1,1,1,1,1,1,1,0,1,1,1
"8750","Clust8749",0,0,0,0,0,0,0,0,0,0,0,1,0
"8757","Clust8756",0,0,0,1,1,0,0,0,0,0,0,0,1
"8771","Clust8770",0,0,0,0,0,0,0,1,0,0,0,0,0
"8774","Clust8773",1,0,0,0,0,0,0,0,0,0,0,0,0
"8781","Clust8780",0,1,1,0,0,1,1,0,1,1,1,1,0
"8787","Clust8786",0,0,0,0,0,0,0,0,0,0,0,1,0
"8801","Clust8800",1,1,1,1,1,1,1,1,1,0,1,1,1
"8803","Clust8802",0,0,0,1,1,0,1,1,0,0,1,1,1
"8805","Clust8804",1,1,1,1,1,1,1,1,1,1,1,1,1
"8813","Clust8812",0,0,0,0,0,0,0,0,0,0,0,1,0
"8819","Clust8818",1,0,1,0,0,0,0,0,0,0,0,0,0
"8835","Clust8834",0,1,0,0,1,1,1,0,1,0,1,1,1
"8838","Clust8837",0,0,0,0,0,0,0,0,1,0,0,0,0
"8845","Clust8844",1,0,1,0,1,0,1,1,1,1,1,1,1
"8846","Clust8845",0,1,0,0,0,0,0,0,1,0,0,0,0
"8848","Clust8847",1,1,1,1,1,1,1,1,1,1,1,1,1
"8855","Clust8854",0,0,0,0,0,0,1,0,0,0,0,0,0
"8856","Clust8855",0,1,1,0,0,1,1,0,1,0,0,0,0
"8858","Clust8857",1,0,1,0,1,1,1,0,1,0,1,1,1
"8868","Clust8867",0,1,0,0,0,0,0,0,1,0,0,1,0
"8869","Clust8868",0,1,0,0,0,0,0,0,1,0,0,0,0
"8889","Clust8888",1,0,0,0,0,0,0,0,0,1,1,1,0
"8891","Clust8890",1,1,1,1,1,1,1,1,1,1,1,1,1
"8902","Clust8901",0,0,0,0,0,0,1,0,0,0,0,0,0
"8903","Clust8902",1,1,1,1,1,1,1,1,1,1,1,1,1
"8904","Clust8903",0,1,0,0,0,0,0,0,0,0,0,0,0
"8914","Clust8913",1,1,0,1,0,1,1,1,1,1,1,1,1
"8927","Clust8926",1,1,0,0,0,0,0,0,0,1,1,1,1
"8930","Clust8929",0,1,0,0,0,0,0,0,0,0,0,0,0
"8939","Clust8938",0,0,0,0,0,0,0,0,0,0,0,1,0
"8947","Clust8946",0,1,1,0,0,0,1,0,0,0,0,1,0
"8951","Clust8950",1,1,1,1,1,1,1,1,1,1,1,1,1
"8968","Clust8967",0,0,0,0,0,0,1,0,0,0,0,1,0
"8974","Clust8973",1,1,1,1,1,1,1,1,1,1,1,1,0
"8977","Clust8976",0,0,0,0,0,0,0,0,0,0,0,1,0
"9049","Clust9048",1,1,0,0,0,0,0,0,1,0,0,0,0
"9060","Clust9059",0,0,0,0,0,0,0,0,0,0,0,0,1
"9073","Clust9072",0,1,1,1,0,1,1,1,1,0,1,0,0
"9074","Clust9073",1,1,1,1,1,1,1,1,1,1,1,1,1
"9088","Clust9087",1,1,1,1,1,1,1,1,1,1,1,1,1
"9095","Clust9094",0,1,0,0,0,1,0,0,0,0,0,1,0
"9106","Clust9105",0,1,0,1,1,1,1,1,1,0,1,1,0
"9116","Clust9115",1,1,1,1,1,1,1,1,1,1,1,1,1
"9120","Clust9119",1,1,1,1,1,1,1,1,1,1,1,1,1
"9126","Clust9125",0,0,0,0,0,0,0,0,0,1,1,0,0
"9168","Clust9167",0,0,0,0,0,0,0,0,1,0,0,0,0
"9170","Clust9169",1,1,1,1,1,1,1,1,1,1,1,1,1
"9176","Clust9175",0,1,0,0,0,0,0,0,0,0,0,1,0
"9179","Clust9178",1,1,1,1,1,1,1,1,1,1,1,1,1
"9185","Clust9184",1,1,1,1,1,1,1,1,1,1,1,1,1
"9208","Clust9207",0,1,0,0,0,1,0,0,0,0,0,0,0
"9219","Clust9218",1,1,0,1,1,1,1,1,1,0,1,1,1
"9223","Clust9222",1,0,1,0,1,1,0,0,1,1,1,1,1
"9224","Clust9223",1,1,1,1,1,1,1,1,1,1,1,1,1
"9227","Clust9226",1,0,0,0,0,0,0,0,0,0,0,0,1
"9235","Clust9234",1,1,1,1,1,1,1,1,1,1,1,1,1
"9242","Clust9241",1,1,0,0,0,1,0,1,1,1,1,1,0
"9326","Clust9325",0,0,0,0,1,0,0,0,0,0,0,0,0
"9328","Clust9327",1,1,1,1,1,1,1,1,1,1,1,1,0
"9334","Clust9333",0,1,0,0,0,0,0,0,0,0,0,0,0
"9342","Clust9341",1,1,0,0,0,0,1,0,1,1,0,0,0
"9343","Clust9342",1,1,1,1,1,1,1,1,1,0,1,1,1
"9346","Clust9345",1,1,0,0,0,0,0,0,0,0,0,0,0
"9349","Clust9348",1,1,1,1,1,1,1,1,1,1,1,1,1
"9350","Clust9349",1,1,1,1,1,1,1,1,1,1,1,1,0
"9353","Clust9352",1,1,0,1,1,1,1,1,1,1,1,1,1
"9366","Clust9365",0,0,0,1,1,1,1,0,1,0,0,0,1
"9379","Clust9378",0,1,0,0,0,0,0,0,0,0,0,0,0
"9382","Clust9381",1,1,0,1,0,1,1,1,1,1,1,1,1
"9383","Clust9382",0,0,0,0,0,0,0,0,0,0,0,1,0
"9387","Clust9386",0,0,0,0,0,0,1,0,0,0,0,0,0
"9390","Clust9389",0,0,0,0,0,1,1,1,1,0,0,0,0
"9395","Clust9394",1,1,1,1,0,1,1,1,1,1,1,1,1
"9398","Clust9397",1,1,1,1,1,1,1,1,1,1,1,1,1
"9400","Clust9399",1,1,1,1,1,0,1,0,1,1,1,1,1
"9411","Clust9410",0,0,0,1,0,0,0,0,0,0,0,0,0
"9440","Clust9439",0,0,0,0,0,0,1,0,0,0,0,0,0
"9444","Clust9443",0,0,0,0,0,0,1,0,0,0,0,0,0
"9447","Clust9446",0,1,0,0,0,0,0,0,0,0,0,0,0
"9452","Clust9451",1,1,1,1,1,1,1,1,1,1,1,1,1
"9458","Clust9457",0,1,0,0,0,0,1,0,0,0,0,0,0
"9461","Clust9460",1,1,1,1,1,1,1,1,1,1,1,1,1
"9462","Clust9461",0,1,1,1,1,1,1,1,1,1,1,1,0
"9465","Clust9464",0,1,0,0,0,1,0,0,0,0,0,0,0
"9466","Clust9465",0,0,0,0,1,1,0,0,1,0,1,0,0
"9468","Clust9467",1,1,0,0,0,0,0,0,0,0,0,0,0
"9473","Clust9472",1,1,1,1,1,1,1,1,1,1,1,1,0
"9481","Clust9480",0,0,0,0,0,0,1,0,0,0,0,1,0
"9483","Clust9482",1,1,1,1,1,1,1,1,1,1,1,1,1
"9484","Clust9483",0,0,0,0,0,0,0,0,0,0,1,1,0
"9485","Clust9484",0,0,0,0,0,0,0,0,0,0,1,0,0
"9487","Clust9486",0,0,0,0,0,0,1,0,0,0,0,0,0
"9489","Clust9488",1,1,1,1,1,1,1,1,1,1,1,0,1
"9494","Clust9493",1,1,1,1,1,1,1,1,1,1,1,1,1
"9497","Clust9496",1,1,1,1,1,1,1,1,1,1,1,1,1
"9501","Clust9500",0,0,0,0,0,0,0,0,0,0,0,1,0
"9503","Clust9502",1,1,1,1,1,1,1,1,1,1,1,1,1
"9509","Clust9508",0,0,0,1,1,0,0,0,0,0,0,0,0
"9512","Clust9511",1,1,1,0,0,1,1,0,1,1,0,0,1
"9524","Clust9523",0,0,0,0,0,0,0,0,0,0,0,0,1
"9525","Clust9524",1,1,0,0,0,0,1,0,1,1,0,0,0
"9536","Clust9535",0,0,0,0,0,0,0,0,0,0,0,1,0
"9537","Clust9536",1,1,1,1,1,1,1,1,1,1,1,1,1
"9552","Clust9551",1,1,1,1,1,1,1,1,1,1,1,1,1
"9556","Clust9555",0,0,0,0,0,0,1,0,0,0,0,0,0
"9557","Clust9556",1,1,1,1,1,1,1,1,1,1,1,1,1
"9562","Clust9561",0,0,0,0,0,0,1,0,0,0,0,1,0
"9587","Clust9586",0,0,0,0,0,0,0,0,0,0,1,0,0
"9595","Clust9594",1,1,1,1,1,1,1,1,1,0,0,1,1
"9597","Clust9596",1,1,1,1,1,1,1,1,1,1,1,1,1
"9608","Clust9607",0,0,0,0,0,0,0,0,1,0,0,0,0
"9611","Clust9610",1,1,0,0,0,0,0,0,1,0,1,0,0
"9623","Clust9622",1,1,1,1,1,1,1,1,1,1,1,1,1
"9634","Clust9633",1,1,1,1,1,1,1,1,1,0,1,1,0
"9635","Clust9634",1,1,1,1,1,1,1,1,1,1,1,1,1
"9636","Clust9635",1,1,1,1,1,1,1,1,1,1,1,1,1
"9652","Clust9651",1,1,1,1,1,1,1,1,1,1,1,1,1
"9656","Clust9655",1,1,1,1,1,1,1,1,1,1,1,1,1
"9664","Clust9663",0,0,0,0,0,0,0,0,0,0,0,1,0
"9668","Clust9667",0,1,0,0,0,0,0,0,1,0,1,1,1
"9670","Clust9669",1,1,1,1,1,1,1,1,1,1,1,1,1
"9679","Clust9678",1,1,1,1,1,1,1,1,1,1,1,1,1
"9686","Clust9685",0,1,0,0,0,0,0,0,1,1,0,1,1
"9712","Clust9711",0,1,0,0,0,0,0,0,1,0,0,1,1
"9721","Clust9720",1,1,1,1,1,1,1,1,1,1,1,1,1
"9722","Clust9721",1,1,1,1,1,1,0,1,1,1,1,1,1
"9724","Clust9723",0,0,0,1,1,1,1,1,0,1,1,1,0
"9726","Clust9725",0,1,0,1,1,1,1,1,0,1,0,0,0
"9734","Clust9733",0,0,0,0,0,0,0,0,0,0,0,1,0
"9740","Clust9739",1,0,1,1,1,1,1,1,1,1,1,1,0
"9747","Clust9746",1,1,1,1,1,1,1,0,1,0,1,1,0
"9748","Clust9747",0,0,0,0,0,0,1,0,0,0,0,0,0
"9749","Clust9748",0,1,1,1,1,1,1,1,1,1,1,1,0
"9755","Clust9754",1,1,1,1,1,1,1,1,1,1,1,1,1
"9799","Clust9798",1,1,1,1,1,1,1,1,1,1,1,1,1
"9806","Clust9805",1,1,1,1,0,1,1,1,1,0,1,1,1
"9807","Clust9806",1,1,1,1,1,1,1,1,1,1,1,1,1
"9810","Clust9809",0,0,0,0,0,0,0,0,1,0,0,0,0
"9824","Clust9823",0,0,0,0,0,0,1,0,1,0,0,0,0
"9834","Clust9833",1,1,1,1,1,1,1,1,1,1,1,1,1
"9842","Clust9841",0,0,1,0,0,0,0,0,0,0,0,0,0
"9866","Clust9865",1,1,1,1,1,1,1,1,1,1,1,1,1
"9881","Clust9880",0,0,0,0,0,0,0,1,1,0,0,0,1
"9890","Clust9889",1,1,1,1,1,1,1,1,1,1,1,1,1
"9896","Clust9895",1,1,0,1,0,1,1,1,1,1,1,1,1
"9903","Clust9902",1,1,1,1,1,1,1,1,1,1,1,1,1
"9904","Clust9903",1,1,1,1,1,1,1,1,1,1,1,1,1
"9918","Clust9917",1,1,0,1,0,1,1,1,1,1,1,1,1
"9927","Clust9926",0,0,0,1,1,1,1,1,0,0,1,1,0
"9934","Clust9933",0,1,0,0,1,1,1,1,1,0,0,0,0
"9935","Clust9934",1,1,1,1,1,1,1,1,1,0,1,1,1
"9941","Clust9940",1,1,1,1,1,1,1,1,1,1,1,1,0
"9942","Clust9941",0,0,0,1,0,0,1,0,0,0,0,0,0
"9945","Clust9944",1,1,1,1,1,1,1,1,1,1,1,1,1
"9959","Clust9958",1,1,1,1,1,1,1,1,1,1,1,1,1
"9960","Clust9959",1,1,1,1,1,1,1,1,1,1,1,1,1
"9963","Clust9962",0,0,0,0,0,1,1,0,0,0,0,0,0
"10057","Clust10056",1,1,1,1,1,1,1,1,1,1,1,1,1
"10070","Clust10069",1,1,0,0,0,0,1,0,1,1,1,0,0
"10078","Clust10077",0,1,0,0,0,0,0,0,0,0,0,0,0
"10083","Clust10082",0,1,1,0,1,0,0,0,1,0,1,1,1
"10086","Clust10085",0,1,0,0,0,0,0,0,0,0,0,0,0
"10087","Clust10086",0,1,1,0,0,0,0,0,0,0,1,1,0
"10097","Clust10096",1,1,1,1,1,1,1,1,1,1,1,1,1
"10107","Clust10106",1,1,1,1,1,1,1,1,1,1,1,1,1
"10108","Clust10107",1,1,1,1,1,1,1,1,1,1,1,1,1
"10114","Clust10113",0,0,0,0,0,0,0,0,1,0,0,0,0
"10116","Clust10115",1,1,1,1,1,1,1,1,1,1,1,1,1
"10117","Clust10116",0,1,1,1,1,0,1,1,1,1,1,1,1
"10121","Clust10120",0,1,0,0,1,1,1,1,1,0,1,1,1
"10128","Clust10127",1,1,1,1,1,1,1,1,1,1,1,1,1
"10143","Clust10142",0,1,0,0,0,0,1,0,0,0,0,0,0
"10160","Clust10159",0,0,0,0,0,1,1,1,0,0,0,0,0
"10162","Clust10161",0,0,0,1,0,0,0,0,0,0,0,0,0
"10174","Clust10173",1,1,1,1,1,1,1,1,1,1,1,1,1
"10175","Clust10174",1,1,1,1,1,1,1,1,1,1,1,1,1
"10180","Clust10179",1,1,1,1,1,1,1,1,1,1,1,1,1
"10188","Clust10187",1,1,1,1,1,1,1,1,1,1,1,1,1
"10190","Clust10189",1,1,1,1,1,1,1,1,1,1,1,1,1
"10191","Clust10190",0,1,0,0,0,0,0,0,1,1,0,1,0
"10197","Clust10196",1,1,1,1,1,1,1,1,1,1,1,1,1
"10243","Clust10242",0,1,1,1,1,1,1,1,1,1,1,1,0
"10252","Clust10251",1,1,1,1,1,1,1,1,1,1,1,1,1
"10263","Clust10262",0,1,0,0,0,0,0,0,0,0,0,0,0
"10278","Clust10277",1,1,1,1,1,1,1,1,1,1,1,1,1
"10283","Clust10282",1,1,0,1,1,1,1,1,1,1,1,1,1
"10284","Clust10283",1,1,0,0,1,1,1,0,1,0,1,1,0
"10285","Clust10284",1,1,1,1,1,1,1,1,1,1,1,1,1
"10291","Clust10290",0,1,0,0,0,0,0,0,0,0,0,0,0
"10308","Clust10307",0,0,1,0,0,0,0,0,0,0,0,0,0
"10311","Clust10310",0,1,1,0,0,0,1,1,1,1,1,1,1
"10312","Clust10311",0,1,0,0,0,0,0,0,1,1,1,0,0
"10315","Clust10314",1,1,1,1,1,1,1,1,1,1,1,1,1
"10318","Clust10317",0,0,0,0,0,0,1,0,1,0,1,0,0
"10661","Clust10660",0,0,0,0,0,0,1,0,0,0,0,0,0
"11040","Clust11039",1,0,0,0,0,0,0,0,0,0,0,0,0
"11323","Clust11322",0,0,1,0,0,0,0,0,0,0,0,0,0
"11490","Clust11489",0,1,0,0,0,0,0,0,0,0,0,0,0
"11548","Clust11547",0,0,0,0,0,0,0,0,0,0,0,1,0
"11608","Clust11607",0,0,0,0,0,0,1,0,0,0,0,0,0
"11667","Clust11666",0,0,0,0,0,0,1,0,0,0,0,0,0
"12419","Clust12418",0,0,0,0,0,0,0,0,0,1,0,0,0
"13137","Clust13136",0,0,1,0,0,0,0,0,0,0,0,0,0
"13324","Clust13323",0,0,0,0,0,0,1,0,0,0,0,0,0
"14289","Clust14288",0,0,0,0,0,0,0,0,0,1,0,0,0
"14701","Clust14700",0,0,0,0,0,0,0,0,0,1,0,0,0
"14876","Clust14875",0,0,0,0,0,0,1,0,0,0,0,0,0
"14914","Clust14913",0,0,1,0,0,0,0,0,0,0,0,0,0
"15014","Clust15013",1,0,0,0,0,0,0,0,0,0,0,0,0
"15236","Clust15235",0,0,1,0,0,0,0,0,0,0,0,0,0
"15444","Clust15443",0,1,0,0,0,0,0,0,0,0,0,0,0
"15616","Clust15615",0,1,0,0,0,0,0,0,0,0,0,0,0
"16022","Clust16021",0,0,0,0,0,0,0,0,0,0,0,1,0
"16101","Clust16100",0,1,0,0,0,0,0,0,0,0,0,0,0
"16178","Clust16177",0,0,0,0,0,0,0,0,0,1,0,0,0
"16408","Clust16407",0,0,0,0,0,0,0,0,0,0,0,1,0
"16543","Clust16542",0,1,0,0,0,0,0,0,0,0,0,0,0
"16578","Clust16577",0,0,0,0,0,0,0,0,0,1,0,0,0
"16619","Clust16618",0,0,0,0,0,0,0,0,0,1,0,0,0
"16623","Clust16622",0,0,0,0,0,0,0,0,0,0,1,0,0
"16700","Clust16699",0,0,0,0,0,0,0,0,0,0,0,1,0
"16755","Clust16754",0,0,1,0,0,0,0,0,0,0,0,0,0
"17050","Clust17049",0,0,0,0,0,0,0,0,0,1,0,0,0
"17146","Clust17145",0,1,0,0,0,0,0,0,0,0,0,0,0
"17412","Clust17411",0,0,1,0,0,0,0,0,0,0,0,0,0
"17894","Clust17893",1,0,0,0,0,0,0,0,0,0,0,0,0
"17954","Clust17953",0,0,0,0,0,0,0,0,0,1,0,0,0
"18120","Clust18119",0,0,0,0,0,0,0,0,0,1,0,0,0
"18287","Clust18286",0,1,0,0,0,0,0,0,0,0,0,0,0
"18332","Clust18331",0,1,0,0,0,0,0,0,0,0,0,0,0
"18475","Clust18474",0,0,0,0,0,0,0,0,0,0,0,1,0
"18562","Clust18561",0,0,0,0,0,0,0,0,1,0,0,0,0
"18583","Clust18582",0,0,0,0,0,0,0,0,0,0,0,1,0
"18685","Clust18684",0,1,0,0,0,0,0,0,0,0,0,0,0
"18746","Clust18745",0,0,0,0,0,0,0,0,0,1,0,0,0
"19006","Clust19005",0,0,0,0,0,0,1,0,0,0,0,0,0
"19187","Clust19186",0,0,1,0,0,0,0,0,0,0,0,0,0
"19331","Clust19330",0,1,0,0,0,0,0,0,0,0,0,0,0
"19402","Clust19401",0,0,1,0,0,0,0,0,0,0,0,0,0
"19414","Clust19413",0,0,1,0,0,0,0,0,0,0,0,0,0
"19739","Clust19738",0,1,0,0,0,0,0,0,0,0,0,0,0
"20064","Clust20063",0,0,0,0,0,0,0,0,0,0,0,1,0
