speciesname	coreessential	core
ecolist131	340.0	4831.0
klebsiella	277.0	4524.0
salmonellaa130	371.0	4455.0
salmonellacitrobacter	268.57142857142856	3714.1428571428573
ecoliEC958	334.0	4981.0
salmonellasl3261	323.0	4522.0
ecolik12	299.0	4317.0
klebsiellaecl8	303.0	5003.0
ecoli	240.0	3659.0
salmonellaty2	352.0	4341.0
klebsiellarh201207	388.0	5677.0
salmonellad23580	321.0	4492.0
typhimurium	264.0	4233.0
salmonella	281.3333333333333	4024.0
ecoliBW25113	438.0	4311.0
salmonellasl1344	335.0	4525.0
citrobacter	307.0	4957.0
all	267.53846153846155	2857.923076923077
salmonellaecolicitrobacter	272.54545454545456	3051.909090909091
salmonellap125109	298.0	4316.0
