baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	numsites....1.ctrl_reps..	Expected	Essentiality	Uncertainty
36.7509277695857	-0.340238032484401	0.852888813829555	-0.398924252455251	0.68994901851912	0.914801528288266	ENC_00100	77	NA	Unchanged	0.0341135716271121
51.8881237552962	-0.0649890922408832	0.779764322783445	-0.0833445316001355	0.933577592344964	0.987853147872302	ENC_00110	98	NA	Unchanged	0.0296756655304332
29.6935998712842	-1.16101586665443	1.02096666322084	-1.13717314039596	0.255465913009083	0.645103637278386	ENC_00120	37	NA	Unchanged	0.0944063826226041
98.9625395876155	0.252415779810291	0.566363366892876	0.445678153929815	0.65582974722031	0.902104107904502	ENC_00130	206	NA	Unchanged	0
58.8437164502871	-3.06591440133405	0.76946433150806	-3.98447891057564	6.76283625390022e-05	0.000780991713184053	ENC_00140	43	NA	Reduced	0.0176267288110842
93.5398276517191	0.205516640615305	0.575918062366978	0.356850486283844	0.721203738565864	0.926369459065716	ENC_00150	211	NA	Unchanged	0
47.8598781103712	0.0664887074368649	0.804837617993703	0.0826113317150952	0.934160590671385	0.987853147872302	ENC_00180	102	NA	Unchanged	0
132.302696472617	0.149111153902483	0.523338596726941	0.284922906193147	0.775703206425967	0.944519836712861	ENC_00190	302	NA	Unchanged	0
103.013930861025	-0.320240336475628	0.555977703209305	-0.575994926823656	0.564618610663572	0.862070208543947	ENC_00210	200	NA	Unchanged	0.0336499236279175
135.334655632126	-0.983824223857016	0.58540213493249	-1.6805955515869	0.0928415004623255	0.385252246046294	ENC_00220	226	NA	Unchanged	0.0706045977566533
65.3632580749489	1.75663501287011	0.704932398946955	2.4919198145726	0.0127054717513822	0.0912774879503366	ENC_00240	229	NA	Unchanged	0
129.156657707069	0.87933345485438	0.56556986244445	1.55477424319219	0.119999845474879	0.445730888953283	ENC_00250	374	NA	Unchanged	0
136.641388922388	0.514163651292482	0.48442196310718	1.06139624222348	0.288509863948699	0.678190276257342	ENC_00260	358	NA	Unchanged	0
207.513335443409	0.211825167917158	0.486647199529239	0.435274605755604	0.663363115153907	0.904908932395551	ENC_00270	484	NA	Unchanged	0
117.631376043228	0.286831619233878	0.592312378561432	0.484257343955086	0.628203244664356	0.892019105808281	ENC_00280	283	NA	Unchanged	0
84.8861431320091	-0.413343374331405	0.65197324405205	-0.633988247374161	0.526088492070541	0.84609331524916	ENC_00290	156	NA	Unchanged	0.0360327592155706
83.6719458248678	0.226218809218469	0.619948220569155	0.364899521787134	0.715186411292683	0.924163029340052	ENC_00300	192	NA	Unchanged	0
92.3804523781371	-0.0766855128127092	0.630719506325532	-0.121584178138815	0.903228344531931	0.983219153850106	ENC_00310	183	NA	Unchanged	0.0297875680588765
83.4637743769311	-0.397392972240713	0.677399248911618	-0.586645132658779	0.557442064374703	0.857798975772945	ENC_00320	164	NA	Unchanged	0.0355826312623351
57.2876685673053	0.0295708729678475	0.808576873550459	0.0365715047451231	0.970826664244458	0.995907189785079	ENC_00330	112	NA	Unchanged	0
89.6417613882458	0.460576387057322	0.603292271475863	0.763438235219875	0.445202084478155	0.799755627547553	ENC_00340	217	NA	Unchanged	0
41.1634327839225	0.105068249053486	0.893976403636567	0.117529107732691	0.906440779243517	0.983948692558052	ENC_00350	111	NA	Unchanged	0
82.0266590938725	1.0693879576874	0.574877307469802	1.86020207058455	0.0628569422283387	0.298243160127667	ENC_00360	271	NA	Unchanged	0
97.0456666834976	0.769963792550048	0.640529660714544	1.20207359592234	0.229335015318796	0.615600942640678	ENC_00370	268	NA	Unchanged	0
30.3149895378345	-0.0975886641694777	1.04704111296421	-0.093204233301977	0.925741311342793	0.987086353335045	ENC_00380	62	NA	Unchanged	0.0300029676277712
34.9896050244742	0.494117133999093	0.890313270854136	0.554992439374799	0.578899831889707	0.870580801953405	ENC_00390	106	NA	Unchanged	0
97.1833896544125	0.528311018409345	0.679281718783704	0.777749501863996	0.436716703225946	0.795250790763307	ENC_00400	241	NA	Unchanged	0
67.9825410863916	0.148400772488608	0.872568595528516	0.170073474164769	0.864952354133503	0.972077703627785	ENC_00410	162	NA	Unchanged	0
96.3290797570497	0.862268319797136	0.650492309948162	1.32556266478515	0.184984599803418	0.560701481170294	ENC_00420	250	NA	Unchanged	0
216.94311054326	0.446330210256599	0.432510309467235	1.0319527661812	0.30209424522383	0.690421311371602	ENC_00430	606	NA	Unchanged	0
52.1632507817465	0.489772127531713	0.704259880115633	0.695442323721887	0.486778144477913	0.82819900518833	ENC_00440	129	NA	Unchanged	0
21.6612892729765	2.28757215865686	1.13320812372235	2.01866904301981	0.0435216296242597	0.232470721926701	ENC_00460	63	NA	Unchanged	0
68.1750574772996	1.3711501164976	0.65569288193193	2.09114686811552	0.0365149004569499	0.207927397840112	ENC_00470	241	NA	Unchanged	0
62.9707005062315	0.612655398130025	0.697438133693331	0.878436908641153	0.379706662117739	0.758472239232087	ENC_00480	175	NA	Unchanged	0
237.510036893355	1.09198797296732	0.396826250782561	2.75180377007285	0.00592680232507919	0.0486076465023641	ENC_00490	673	NA	Unchanged	0
62.7146248841416	-0.444352155982984	0.825680354309397	-0.538164864482748	0.590463234526265	0.873353979768536	ENC_00500	118	NA	Unchanged	0.0369611875339203
35.2788784308041	-0.793678352144068	1.05173367988841	-0.754638143972227	0.450466130219845	0.802554963391539	ENC_00510	56	NA	Unchanged	0.0538437264610038
66.7025995833136	-0.00560045173745147	0.740759551338993	-0.00756041785398262	0.993967716788613	0.998878358209672	ENC_00520	126	NA	Unchanged	0.0292004985267679
